Stock,Weight,Inds,Weight_flies,Sex,Treatment,Set,MitoNuc,Mito,Nuc,weight_per_fly,Build,z,Set_adj,Pos_adj,Y_adj
4A,0.995906,18,1.009518,M,Rotenone,2,ZW133_Ore,ZW133,Ore,0.00075622222222222,A,-0.0469113388417492,0.000718139411027571,0.000751470968198374,0.000789553779393023
4A,1.02668,19,1.0495,F,Rotenone,9,ZW133_Ore,ZW133,Ore,0.00120105263157895,A,0.105170891117417,0.00131216049519223,0.00116980665562678,0.0010586987920135
4A,0.996288,20,1.019646,F,Control,2,ZW133_Ore,ZW133,Ore,0.00116790000000001,A,-0.0544116293273642,0.00124479621146398,0.00118354565556564,0.00110664944410167
4A,1.003098,14,1.020102,F,Control,9,ZW133_Ore,ZW133,Ore,0.00121457142857143,A,0.170244569878163,0.001235392995893,0.00118354565556564,0.00116272408824407
4A,0.991996,15,1.010746,F,Control,9,ZW133_Ore,ZW133,Ore,0.00125,A,0.34078248663047,0.001235392995893,0.00118354565556564,0.00119815265967264
4A,0.956374,18,0.969208,M,Control,2,ZW133_Ore,ZW133,Ore,0.000713000000000001,A,-0.226659752129447,0.000819221475256768,0.000743674151688568,0.000637452676431801
4A,1.0078,20,1.022576,M,Rotenone,9,ZW133_Ore,ZW133,Ore,0.000738799999999995,A,-0.119365197976756,0.000812438967070082,0.000751470968198374,0.000677832001128287
4A,1.0237,18,1.044938,F,Rotenone,9,ZW133_Ore,ZW133,Ore,0.00117988888888888,A,0.0032977293298138,0.00131216049519223,0.00116980665562678,0.00103753504932343
4A,0.974708,19,0.989018,M,Control,9,ZW133_Ore,ZW133,Ore,0.000753157894736839,A,-0.0596549687379454,0.000853247961816306,0.000743674151688568,0.000643584084609101
4A,1.00286,17,1.024848,F,Control,2,ZW133_Ore,ZW133,Ore,0.00129341176470588,A,0.549748064890053,0.00124479621146398,0.00118354565556564,0.00123216120880754
4A,1.004842,18,1.019752,M,Rotenone,9,ZW133_Ore,ZW133,Ore,0.000828333333333332,A,0.252977402093279,0.000812438967070082,0.000751470968198374,0.000767365334461624
4B,0.999458,23,1.02866,F,Rotenone,9,ZW133_Ore,ZW133,Ore,0.00126965217391304,B,0.435379605950986,0.00131216049519223,0.00116980665562678,0.00112729833434759
4B,1.001936,8,1.012888,F,Control,2,ZW133_Ore,ZW133,Ore,0.00136900000000001,B,0.913597344109054,0.00124479621146398,0.00118354565556564,0.00130774944410167
4B,1.011546,19,1.036202,F,Rotenone,9,ZW133_Ore,ZW133,Ore,0.00129768421052632,B,0.570313782904508,0.00131216049519223,0.00116980665562678,0.00115533037096087
4B,1.01475,12,1.029756,F,Rotenone,2,ZW133_Ore,ZW133,Ore,0.00125049999999999,B,0.343189271745877,0.00109585833333333,0.00116980665562678,0.00132444832229344
4B,0.992238,19,1.015898,F,Control,9,ZW133_Ore,ZW133,Ore,0.00124526315789474,B,0.317981364484059,0.001235392995893,0.00118354565556564,0.00119341581756738
4B,0.956078,21,0.972344,M,Control,9,ZW133_Ore,ZW133,Ore,0.000774571428571429,B,0.0293975725650173,0.000853247961816306,0.000743674151688568,0.000664997618443691
4B,1.017262,20,1.03741,F,Rotenone,2,ZW133_Ore,ZW133,Ore,0.00100739999999999,B,-0.826989651388848,0.00109585833333333,0.00116980665562678,0.00108134832229344
4B,1.004358,21,1.022314,M,Rotenone,9,ZW133_Ore,ZW133,Ore,0.000855047619047612,B,0.364074199582502,0.000812438967070082,0.000751470968198374,0.000794079620175904
4B,1.011776,21,1.038936,F,Rotenone,9,ZW133_Ore,ZW133,Ore,0.00129333333333334,B,0.549370529970024,0.00131216049519223,0.00116980665562678,0.00115097949376789
4B,0.985496,17,0.997784,M,Control,9,ZW133_Ore,ZW133,Ore,0.000722823529411763,B,-0.185806604515451,0.000853247961816306,0.000743674151688568,0.000613249719284025
